ID,Age,Education,Marital Status,Parental Status,Children,Kidhome,Teenhome,Income,Spent,Customer Loyalty,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,NumWebVisitsMonth,Clusters
5524,58,0,0,0,0,0,0,58138.0,1617,663,58,635,88,546,172,88,88,8,10,4,3,0,7,0
2174,61,0,0,1,2,1,1,46344.0,27,113,38,11,1,6,2,1,6,1,1,2,2,0,5,2
4141,50,0,1,0,0,0,0,71613.0,776,312,26,426,49,127,111,21,42,8,2,10,1,0,4,0
6182,31,0,1,1,1,1,0,26646.0,53,139,26,11,4,20,10,3,5,2,0,4,2,0,6,1
5324,34,1,1,1,1,1,0,58293.0,422,161,94,173,43,118,46,27,15,5,3,6,5,0,5,1
7446,48,1,1,1,1,0,1,62513.0,716,293,16,520,42,98,0,42,14,6,4,10,2,0,6,3
965,44,0,0,1,1,0,1,55635.0,590,593,34,235,65,164,50,49,27,7,3,7,4,0,6,3
6177,30,1,1,1,1,1,0,33454.0,169,417,32,76,10,56,3,1,23,4,0,4,2,0,8,1
4855,41,1,1,1,1,1,0,30351.0,46,388,19,14,0,24,3,3,2,3,0,2,1,0,9,1
5899,65,1,1,1,2,1,1,5648.0,49,108,68,28,0,6,1,1,13,1,0,0,1,1,20,2
387,39,2,1,0,0,0,0,7500.0,61,593,59,6,16,11,11,1,16,2,0,3,1,0,8,1
2125,56,0,0,0,0,0,0,63033.0,1102,226,82,194,61,480,225,112,30,3,4,8,1,0,2,0
8180,63,1,0,1,2,1,1,59354.0,310,226,53,233,2,53,3,5,14,6,1,5,3,0,6,2
2569,28,0,1,0,0,0,0,17323.0,46,627,38,3,14,17,6,1,5,1,0,3,1,0,8,1
2114,69,1,0,0,0,0,0,82800.0,1315,582,23,1006,22,115,59,68,45,7,6,12,1,2,3,0
9736,35,0,1,1,2,1,1,41850.0,96,552,51,53,5,19,2,13,4,3,0,3,3,0,8,2
4939,69,0,1,0,0,0,0,37760.0,317,667,20,84,5,38,150,12,28,4,1,6,2,0,7,1
6565,66,1,1,1,1,0,1,76995.0,1782,458,91,1012,80,498,0,16,176,11,4,9,2,1,5,3
2278,30,2,0,1,1,1,0,33812.0,133,603,86,4,17,19,30,24,39,2,1,3,2,0,6,1
9360,33,0,1,0,0,0,0,37040.0,316,690,41,86,2,73,69,38,48,4,2,5,1,0,8,1
5376,36,0,1,1,1,1,0,2447.0,1730,539,42,1,1,1725,1,1,1,0,28,0,15,0,1,3
1993,66,1,1,1,1,0,1,58607.0,972,553,63,867,0,86,0,0,19,2,3,9,3,1,8,3
4047,61,1,1,1,1,0,1,65324.0,544,169,0,384,0,102,21,32,5,6,2,9,3,0,4,3
1409,64,0,1,1,1,0,1,40689.0,444,468,69,270,3,27,39,6,99,7,1,5,7,0,8,3
7892,46,0,0,0,0,0,0,18589.0,75,543,89,6,4,25,15,12,13,2,1,3,2,0,7,1
2404,39,0,1,1,2,1,1,53359.0,257,398,4,173,4,30,3,6,41,5,1,4,4,0,7,2
9422,26,0,1,1,1,1,0,38360.0,131,394,26,36,2,42,20,21,10,2,1,4,2,0,3,1
1966,50,1,1,0,0,0,0,84618.0,1672,219,96,684,100,801,21,66,0,6,9,10,1,1,2,0
6864,26,1,0,0,0,0,0,10979.0,30,38,34,8,4,10,2,2,4,3,0,3,2,0,5,1
3033,52,1,1,0,0,0,0,38620.0,318,414,56,112,17,44,34,22,89,2,5,3,1,0,3,1
5710,45,0,1,1,1,0,1,40548.0,120,627,31,110,0,5,2,0,3,2,1,4,2,1,5,2
7373,63,1,0,1,2,0,2,46610.0,302,608,8,96,12,96,33,22,43,4,1,6,6,0,6,2
8755,69,1,1,0,0,0,0,68657.0,1196,494,4,482,34,471,119,68,22,3,5,9,1,0,7,0
10738,64,1,0,1,2,1,1,49389.0,65,304,55,40,0,19,2,1,3,2,0,3,1,0,7,2
4339,45,1,1,1,1,0,1,67353.0,913,180,37,702,17,151,0,8,35,5,6,12,5,0,2,3
10755,39,2,1,1,1,1,0,23718.0,81,300,76,6,3,14,15,7,36,3,1,2,3,0,7,1
8595,42,0,0,1,1,0,1,42429.0,67,138,99,55,0,6,2,0,4,1,1,3,2,0,5,2
2968,72,1,0,0,0,0,0,48948.0,902,513,53,437,8,206,160,49,42,7,10,5,2,1,6,0
8601,35,0,1,1,1,0,1,80011.0,1395,426,3,421,76,536,82,178,102,8,6,5,2,0,4,0
503,30,1,1,1,1,1,0,20559.0,53,474,88,13,1,29,3,0,7,2,0,3,2,0,8,1
8430,58,0,1,1,1,0,1,21994.0,22,552,4,9,0,6,3,1,3,0,0,3,1,0,5,2
2139,40,1,1,1,1,1,0,7500.0,31,270,19,3,1,10,3,2,12,2,0,3,3,0,5,1
1371,39,0,0,0,0,0,0,79941.0,984,1,72,123,164,266,227,30,174,2,4,9,1,0,1,0
9909,19,2,1,0,0,0,0,7500.0,122,597,24,3,18,14,15,22,50,3,1,3,3,0,9,1
7286,47,0,1,1,1,1,0,41728.0,55,401,92,13,6,15,3,5,13,2,0,2,1,0,10,1
6566,61,1,1,1,2,1,1,72550.0,1319,598,39,826,50,317,50,38,38,5,2,12,9,0,8,3
8614,58,0,0,1,1,0,1,65486.0,507,48,29,245,19,125,37,67,14,4,2,10,1,0,2,3
4114,51,1,1,0,0,0,0,79143.0,1693,687,2,650,37,780,27,167,32,6,9,13,1,0,3,0
1331,38,0,0,1,1,1,0,35790.0,72,543,54,12,6,20,30,1,3,2,0,3,2,0,7,1
2225,38,0,0,0,0,0,0,82582.0,1617,22,54,510,120,550,156,40,241,4,9,7,1,2,1,0
9381,37,0,1,1,2,1,1,66373.0,606,382,57,328,9,124,12,24,109,4,2,10,7,0,3,3
6260,60,1,1,0,0,0,0,82384.0,1957,587,55,984,51,432,180,120,190,3,10,13,1,1,1,0
10383,49,0,0,0,0,0,0,70287.0,1093,453,30,295,35,482,121,120,40,5,5,10,1,0,3,0
7437,27,0,0,1,1,1,0,27938.0,29,62,31,13,0,8,2,1,5,1,0,4,1,0,3,1
8375,47,1,1,1,1,0,1,55954.0,518,118,63,447,0,28,0,0,43,8,2,6,3,0,7,2
6853,33,1,0,0,0,0,0,75777.0,1438,360,12,712,26,538,69,13,80,3,6,11,1,2,1,0
3076,40,0,1,1,2,1,1,66653.0,612,660,18,452,18,102,16,18,6,4,2,12,4,0,3,3
1012,63,0,0,1,1,0,1,61823.0,884,496,26,523,7,134,37,14,169,8,2,10,4,0,7,3
6518,64,1,0,1,1,0,1,67680.0,606,383,8,546,0,48,0,6,6,7,3,8,1,0,5,3
4137,67,0,1,0,0,0,0,70666.0,1076,205,29,398,40,367,119,122,30,7,4,4,1,0,4,0
8082,44,0,1,1,1,1,0,25721.0,34,404,75,1,3,6,3,6,15,1,1,2,1,0,7,1
1386,48,0,1,1,2,1,1,32474.0,11,49,0,10,0,1,0,0,0,1,0,2,1,0,7,2
9369,36,2,0,1,1,0,1,88194.0,1274,102,19,688,14,309,201,24,38,11,10,10,1,2,5,0
4477,57,0,1,1,1,0,1,69096.0,653,275,4,247,49,159,7,82,109,5,2,10,1,0,4,3
1357,45,0,1,1,3,1,2,74854.0,1562,447,90,856,59,487,58,29,73,2,5,5,7,0,5,3
1402,61,1,1,0,0,0,0,66991.0,1253,656,1,496,36,460,189,60,12,4,8,6,3,0,3,0
6312,56,0,1,1,1,0,1,65031.0,863,469,29,258,107,291,84,37,86,10,3,13,4,0,7,3
8132,40,1,1,1,2,1,1,60631.0,661,450,88,565,6,65,0,6,19,9,2,8,5,1,7,3
1050,63,0,1,0,0,0,0,28332.0,65,60,58,14,10,13,4,15,9,2,1,4,1,0,2,1
5846,38,0,0,1,1,1,0,40246.0,13,557,68,2,1,6,2,1,1,1,0,2,1,0,6,1
1859,43,1,1,0,0,0,0,75251.0,1890,671,34,721,111,925,97,18,18,7,6,5,1,0,5,0
7503,39,0,0,0,0,0,0,75825.0,2209,625,40,1032,105,779,137,105,51,5,8,9,0,1,4,0
10401,39,2,1,0,0,0,0,26326.0,18,298,12,1,0,5,0,3,9,0,0,3,1,0,3,1
1618,50,0,1,0,0,0,0,56046.0,692,543,9,577,0,64,0,0,51,10,1,8,2,1,8,3
3332,30,0,0,1,1,1,0,29760.0,165,669,87,64,4,68,7,5,17,3,1,4,4,0,8,1
2261,46,0,1,1,1,1,0,26304.0,16,371,5,4,1,5,2,0,4,1,0,2,1,0,7,1
5346,42,2,1,1,1,1,0,23559.0,79,361,87,25,5,19,7,0,23,3,0,3,3,0,7,1
4119,52,1,1,0,0,0,0,38620.0,318,414,56,112,17,44,34,22,89,2,5,3,1,0,3,1
535,28,0,0,0,0,0,0,81361.0,778,124,18,163,23,424,27,65,76,3,10,13,1,0,1,0
5268,55,0,1,1,2,1,1,29440.0,56,322,95,17,8,14,10,4,3,1,0,4,2,0,7,2
273,45,1,1,1,2,1,1,36138.0,151,348,48,130,0,16,0,0,5,3,1,4,5,1,7,2
4452,58,0,0,1,1,0,1,50388.0,372,32,3,292,6,37,0,3,34,6,1,6,4,2,7,2
8504,42,0,1,0,0,0,0,79593.0,1366,48,70,350,60,568,110,133,145,5,6,7,1,1,2,0
771,48,0,1,1,1,0,1,54178.0,194,159,79,135,9,39,4,0,7,2,2,5,1,0,2,2
11178,43,1,0,1,1,1,0,42394.0,32,98,69,15,2,10,0,1,4,1,0,3,1,0,7,1
2230,45,1,1,1,1,1,0,23626.0,43,36,84,27,2,14,0,0,0,3,1,3,3,0,5,1
7516,32,0,1,1,1,1,0,30096.0,45,38,30,5,3,11,12,5,9,2,0,3,1,0,6,1
7247,55,0,0,1,1,0,1,47916.0,606,584,72,505,0,26,0,0,75,7,4,6,5,1,6,3
